"id","file.id","sex","face","name","mean","median","race","age","exposure"
2,"5481",-0.5,0.5,0.5,622.761904761905,596,"South Asian",25,0
3,"5493",-0.5,0.5,0.5,764.782608695652,674,"Chinese",24,0
4,"5507",-0.5,0.5,0.5,520.913043478261,500,"Chinese",18,4
5,"5509",-0.5,0.5,0.5,683.3,575,"Asian",24,1
6,"5517",-0.5,0.5,0.5,694.142857142857,512,"brown",18,16
7,"5521",-0.5,0.5,0.5,981.125,873.5,"east asian",27,0
8,"5569",-0.5,0.5,0.5,935.578947368421,802,"Indian",26,1
9,"5578",-0.5,0.5,0.5,850.454545454545,833.5,"chinese",29,1
10,"5586",-0.5,0.5,0.5,794.95,713.5,"Asian",21,0
11,"5591",-0.5,0.5,0.5,1078.08695652174,810,"black",22,30
12,"5619",-0.5,0.5,0.5,965.826086956522,845,"white",29,0
13,"5623",-0.5,0.5,0.5,847.708333333333,745,"middle eastern",28,0
14,"5630",-0.5,0.5,0.5,593.125,556.5,"East Asian",23,1
15,"5637",-0.5,0.5,0.5,648.227272727273,634.5,"African",19,4
16,"5648",-0.5,0.5,0.5,1032.20833333333,835,"Brown - south asian",23,1
17,"5650",-0.5,0.5,0.5,917.958333333333,834.5,"South Asian",25,0
18,"5653",-0.5,0.5,0.5,654.95652173913,663,"Sri Lankan ",19,8
19,"5661",-0.5,0.5,0.5,1026.18181818182,719,"white",21,1
20,"5663",-0.5,0.5,0.5,980.75,801,"Caucasian",25,0
21,"8762",0.5,0.5,0.5,724.238095238095,710,"chinese",18,1
22,"8763",0.5,0.5,0.5,760.625,649,"South American",18,2
23,"8764",0.5,0.5,0.5,1026.82352941176,768,"chinese",21,0
24,"8765",0.5,0.5,0.5,640.5,594.5,"caucasian",23,0
25,"8766",0.5,0.5,0.5,751.826086956522,707,"Asian",17,5
26,"8767",0.5,0.5,0.5,939.826086956522,850,"caucasian ",18,0
27,"8768",0.5,0.5,0.5,1015.68181818182,817.5,"asian",21,6
28,"8769",0.5,0.5,0.5,951.578947368421,832,"afghanistan",22,6
29,"8771",-0.5,0.5,0.5,1233.30434782609,1130,"Asian",19,0
30,"8776",0.5,0.5,0.5,1101.26086956522,968,"Asian ",18,2
31,"8777",0.5,0.5,0.5,883.208333333333,867.5,"caucasian",19,1
32,"8778",0.5,0.5,0.5,712.04347826087,657,"caucasian",18,1
33,"8779",0.5,0.5,0.5,740.041666666667,727.5,"Jewish",17,40
34,"8780",0.5,0.5,0.5,756.166666666667,702.5,"South Asian",18,5
35,"8781",0.5,0.5,0.5,581.833333333333,540,"caucasian",20,0
36,"8782",0.5,0.5,0.5,635,619,"East Asian",19,1
37,"8783",0.5,0.5,0.5,1277.65217391304,1307,"caucasian",21,4
38,"8784",0.5,0.5,0.5,723.260869565217,692,"korean",19,5
39,"8785",0.5,0.5,0.5,534.782608695652,526,"East Asian",19,2
40,"8790",-0.5,0.5,0.5,551.260869565217,548,"Caucasian",20,2
41,"8791",-0.5,0.5,0.5,783.304347826087,736,"Chinese",22,1
42,"8792",-0.5,0.5,0.5,1006.16666666667,743,"Caucasian",18,1
43,"8793",0.5,0.5,0.5,1304.58333333333,1144,"eastasian",20,0
44,"8796",0.5,0.5,0.5,937.913043478261,853,"caucasian",17,0
45,"8797",0.5,0.5,0.5,695.454545454545,647.5,"Asian, Latin",20,0.5
46,"8798",-0.5,0.5,0.5,889.25,815.5,"White",18,0
47,"8799",0.5,0.5,0.5,957.75,882.5,"Caucasian",20,1
48,"8800",0.5,0.5,0.5,707,630.5,"hispanic",20,0
49,"8801",-0.5,0.5,0.5,952.666666666667,818,"south asian",26,1
50,"8802",0.5,0.5,0.5,1041.66666666667,1045,"South Asian",18,35
51,"8803",0.5,0.5,0.5,764.875,716.5,"african descent (like all humans)",19,2
52,"8804",0.5,0.5,0.5,639.173913043478,598,"italan and japanese",18,48
